job_title,job_location,latitude,longitude
Data Analyst,"Austin, TX",30.2711286,-97.7436995
"Data Analyst, Technical Operations, TDaaS","Atlanta, GA",33.7489924,-84.3902644
Data Analyst,"New York, NY",40.7127281,-74.0060152
Data Analyst/IT,"St Louis, MO",38.6319657,-90.2428756
Data Analyst,"Huntsville, AL",34.729847,-86.5859011
Data Analyst,"Elizabeth, NJ",40.6639916,-74.2107006
"Senior Data Analyst, Marketing","Washington, DC",38.8950368,-77.0365427
Entry Level Data Analyst (340191),"Dallas, TX",32.7762719,-96.7968559
Sr Data Analyst,"Austin, TX",30.2711286,-97.7436995
Data Analyst,"Plano, TX",33.0136764,-96.6925096
Data Analytics Intern,"Melville, NY",40.7934322,-73.4151214
Data Analyst,"Evansville, IN",37.9747645,-87.5558483
Data Analyst,"New York, NY",40.7127281,-74.0060152
Data Analyst,"Washington, DC",38.8950368,-77.0365427
"Analyst, Fan Analytics","New York, NY",40.7127281,-74.0060152
Analyst Strategic Insights,"Coral Gables, FL",25.72149,-80.2683838
Business Intelligence Data Analyst,"Hillsboro, OR",45.5228939,-122.989827
XYZ Data Analyst,"Houston, TX",29.7589382,-95.3676974
Data Analyst,"Philadelphia, PA",39.9527237,-75.1635262
Data Analyst,"Washington, DC",38.8950368,-77.0365427
Data Analyst,"Sudbury, MA",42.3834278,-71.4161725
Data Analyst,"San Diego, CA",32.7174202,-117.1627728
"Data Analyst - Austin, TX -HYBRID","Atlanta, GA",33.7489924,-84.3902644
Data Analyst,"Baltimore, MD",39.2908816,-76.610759
Data Conversion Analyst,"Topeka, KS",39.049011,-95.677556
Data Analyst,"Baltimore, MD",39.2908816,-76.610759
Data Analyst,"Washington, DC",38.8950368,-77.0365427
Data Analyst,"Pasadena, CA",34.1476452,-118.1444779
Data Analyst,"Arlington, VA",38.8769326,-77.0893094
Data Analyst I,"Kansas City, MO",39.100105,-94.5781416
Data Analyst,"Sudbury, MA",42.3834278,-71.4161725
Data Analyst Associate,"Culver City, CA",34.0211224,-118.396466
Population Health Data Analyst,"Cincinnati, OH",39.1014537,-84.5124602
Data Analyst/Researcher,"Philadelphia, PA",39.9527237,-75.1635262
Data Analyst,"Houston, TX",29.7589382,-95.3676974
Workforce Data Analyst,"Brookhaven, GA",33.8584368,-84.340203
Senior Data Analyst I,"Los Angeles, CA",34.0536909,-118.242766
Data Analyst,"Chicago, IL",41.8755616,-87.6244212
Data Analyst,"Pasadena, CA",34.1476452,-118.1444779
HR Data Analyst,"Chicago, IL",41.8755616,-87.6244212
Data Analyst/Data Scientist,"Des Plaines, IL",42.0415823,-87.8873916
DATA ANALYST - (CLT/REMOTE),"Charlotte, NC",35.2272086,-80.8430827
Data Analyst,"Southlake, TX",32.9412363,-97.1341783
Data Analyst,"Charlotte, NC",35.2272086,-80.8430827
IT Data Analyst,"Winter Park, FL",28.5977707,-81.3510264
"Analyst, Data Science","New York, NY",40.7127281,-74.0060152
Data Analyst,"McLean, VA",38.9318369,-77.1671337963356
Data Analyst,"Downers Grove, IL",41.7936822,-88.0102281
Data Analyst,"Hunt Valley, MD",39.4922608,-76.6589528
Data Analyst (Web Performance Analytics),"Carlsbad, CA",33.1580933,-117.3505966
Data Reporting Analyst,"Seattle, WA",47.6038321,-122.330062
Data Analyst,"Lincoln, NE",40.8088861,-96.7077751
Data Analyst,"Poughkeepsie, NY",41.7065539,-73.9283672
Data Analyst,"Canonsburg, PA",40.2625702,-80.1872797
HR Data Analyst,"New York, NY",40.7127281,-74.0060152
Data Analyst II,"Seattle, WA",47.6038321,-122.330062
Data Analyst,"Huntsville, AL",34.729847,-86.5859011
DATA ANALYST - WMATA Project,"Washington, DC",38.8950368,-77.0365427
Data Analyst,"Atlanta, GA",33.7489924,-84.3902644
Supply Chain Data Analyst,"Austin, TX",30.2711286,-97.7436995
Data Analytics Consultant,"Minneapolis, MN",44.9772995,-93.2654692
Senior Data Analyst,"Boston, MA",42.3554334,-71.060511
Data Analyst,"Jackson, MI",32.3086744,-90.1983063
"Research Analyst, Data Visualization","Chicago, IL",41.8755616,-87.6244212
Data Analyst,"Naperville, IL",41.7728699,-88.1479278
Research & Data Analyst,"Denver, CO",39.7392364,-104.984862
Business Systems Analyst,"Bennington, NE",41.3647193,-96.1577968
Senior Data Analyst,"Los Angeles, CA",34.0536909,-118.242766
Entry Level Data Analytics (West Region),"Denver, CO",39.7392364,-104.984862
Supply Chain Data Analyst,"Durham, NC",35.996653,-78.9018053
Data Analyst / Power BI Developer,"New York, NY",40.7127281,-74.0060152
"Associate Analyst, Data Services and Analytics","New Haven, CT",41.3082138,-72.9250518
"Analyst, Data II","Columbia, SC",34.0007493,-81.0343313
Data Analyst,"Jackson, MI",32.3086744,-90.1983063
Entry Level Data Analytics (West Region),"Seattle, WA",47.6038321,-122.330062
UHT - Data Analyst 2,"Miami, FL",25.7741728,-80.19362
Analytics Visualization Analyst,"Wayzata, MN",44.970759,-93.511947
BI/Data Engineer,"Westlake, TX",32.991226,-97.1943701
Data Modelling & Analytics Specialist - IC & Nutrition NA,"Englewood Cliffs, NJ",40.8853773,-73.9523597
Data Analyst,"Washington, DC",38.8950368,-77.0365427
Information Technology Data Analyst,"Franklin, TN",35.925206,-86.8689419
Data Security Analyst,"Atlanta, GA",33.7489924,-84.3902644
Data Analyst,"Washington, DC",38.8950368,-77.0365427
DATA ANALYST - WMATA Project,"Washington, DC",38.8950368,-77.0365427
"Data Analyst, Mid","Charleston, SC",32.7876012,-79.9402728
Research & Data Analyst,"Denver, CO",39.7392364,-104.984862
Entity Data Analyst NY,"New York, NY",40.7127281,-74.0060152
Research Data Analyst,"Sacramento, CA",38.5810606,-121.493895
Research Data Analyst,"Sacramento, CA",38.5810606,-121.493895
Senior Data Analyst,"New York, NY",40.7127281,-74.0060152
Business Intelligence Analyst,"Alpharetta, GA",34.0709576,-84.2747329
Data Analyst,"Washington, DC",38.8950368,-77.0365427
Financial Data Analyst,"Chicago, IL",41.8755616,-87.6244212
Clinical Data Analyst - Biostatistics Team,"Cincinnati, OH",39.1014537,-84.5124602
Lead Data Analyst - 90341478 - Washington,"Washington, DC",38.8950368,-77.0365427
Data Analyst,"Des Moines, IA",41.5910323,-93.6046655
Enterprise Data Analyst,"Schaumburg, IL",42.0333608,-88.083406
Data Analyst II,"Newton, MA",42.3370414,-71.2092214
Data Analyst Manager,"McLean, VA",38.9318369,-77.1671337963356
Data Engineer,"Atlanta, GA",33.7489924,-84.3902644
Associate Data Research Analyst,"Chicago, IL",41.8755616,-87.6244212
Financial Data Analyst,"Chicago, IL",41.8755616,-87.6244212
Financial Data Analyst,"Chicago, IL",41.8755616,-87.6244212
Data Analyst / Data Scientist,"Richmond, VA",37.5385087,-77.43428
Workday Data Analyst - People Analytics,"Milwaukee, WI",43.0349931,-87.922497
Business Systems Analyst,"Salt Lake City, UT",40.7596198,-111.8867975
Data Analyst - CNHF,"Silver Spring, MD",38.9997621,-77.02403709829767
Entry Level Data Analytics (West Region),"Seattle, WA",47.6038321,-122.330062
IT Business Systems Analyst,"Broomfield, CO",39.9403995,-105.05208
Entry Level Data Analytics (West Region),"Denver, CO",39.7392364,-104.984862
Data Engineer,"Atlanta, GA",33.7489924,-84.3902644
Entry Level Data Analytics (West Region),"Phoenix, AZ",33.4484367,-112.074141
Res Data Analyst Assoc,"Chicago, IL",41.8755616,-87.6244212
System Engineer,"Pittsburgh, PA",40.4416941,-79.9900861
Data Quality Analyst,"Dayton, OH",39.7589478,-84.1916069
SQL - Business/Data Analyst,"Plainfield, IL",41.6086711,-88.2054345
Senior Data Analyst,"Tacoma, WA",47.2495798,-122.439874
Data Analyst,"Baltimore, MD",39.2908816,-76.610759
Lab Data Analyst,"Santa Clarita, CA",34.3916641,-118.542586
Business Intelligence Data Engineer,"Austin, TX",30.2711286,-97.7436995
Business Systems Analyst,"Waltham, MA",42.3756401,-71.2358004
Business and Systems Analyst,"Charlotte, NC",35.2272086,-80.8430827
Risk Management Data Analyst,"Palo Alto, CA",37.4443293,-122.1598465
Big Data Analytics,"Coral Gables, FL",25.72149,-80.2683838
Data & Reporting Analyst,"Maryland Heights, MO",38.7150511,-90.435999
Business Intelligence Analyst,"White Plains, NY",41.0339862,-73.7629097
Business Insights Analyst,"Knoxville, TN",35.9603948,-83.9210261
Data Resource Analyst/S,"East Lansing, MI",42.7320307,-84.4721678
Data Reporting Analyst II,"Pasadena, CA",34.1476452,-118.1444779
"Data Analyst/ Data Steward - Real Estate (m/w/d) - Hamburg, Köln und München","Hockessin, DE",39.7876112,-75.6966001
"Analyst, Data II","Columbia, SC",34.0007493,-81.0343313
Junior Intelligence Analyst,"Sterling, VA",39.003809849999996,-77.40832792370676
Senior Data Analyst - Marketing,"Irvine, CA",33.6856969,-117.8259819
Senior Data Analyst - Data Platform,"Los Angeles, CA",34.0536909,-118.242766
Data Analyst Supporting the FBI,"Quantico, VA",38.5228755,-77.29018630447861
"DATA ANALYST, US HEALTH SPENDING","Seattle, WA",47.6038321,-122.330062
Senior Data Analyst,"Albany, NY",42.6511674,-73.754968
"Analyst, Data II","Columbia, SC",34.0007493,-81.0343313
Business Data Reporting Analyst,"Oklahoma City, OK",35.4729886,-97.5170536
Long/Short Equities Data Analyst,"New York, NY",40.7127281,-74.0060152
Biostatistical Data Analyst,"Baltimore, MD",39.2908816,-76.610759
Market Data Analyst,"New York, NY",40.7127281,-74.0060152
Business Intelligence (BI) & Insights Analyst,"Tampa, FL",27.9477595,-82.458444
Database Analyst,"Tallahassee, FL",30.4380832,-84.2809332
BI Solutions Analyst (Data Prep) I/II/III/IV/V-002696,"Rochester, NY",43.157285,-77.615214
Sr. Data Analyst,"Westlake Village, CA",34.1460234,-118.8061794
Research Data Analyst,"Providence, RI",41.8239891,-71.4128343
Omnichannel Business Intelligence Analyst,"Englewood Cliffs, NJ",40.8853773,-73.9523597
Management Analyst (Workforce Data Analysis) (College Graduate),"Washington, DC",38.8950368,-77.0365427
Supply Chain Business Analyst / Data Analyst,"Portsmouth, VA",36.8444196,-76.3532998
HRIS Business Intelligence Analyst,"Philadelphia, PA",39.9527237,-75.1635262
Sr. Data and Analytics Business Analyst,"Wayzata, MN",44.970759,-93.511947
Data Science Analyst,"San Antonio, TX",29.4246002,-98.4951405
SSRS Report Writer,"Addison, TX",32.960477850000004,-96.8300673063398
